Natural Gas (Therms)	Straus Hall 	109	54	83	42	143	71	142	70	209	145	154	112	120	90	203	151	176	131	182	135	132	56	90	36	93	43	82	38	122	56		0
Natural Gas (Therms)	Thayer Hall	179	89	135	68	235	116	232	115	343	238	252	183	197	148	333	248	288	214	298	222	216	92	148	59	153	71	134	63	199	92		0
Natural Gas (Therms)	Weld Hall 	179	89	135	68	235	116	232	115	343	238	252	183	197	148	333	248	288	214	298	222	216	92	148	59	153	71	134	63	199	92		0
Natural Gas (Therms)	Wigglesworth Hall 	257	128	195	98	338	168	335	166	494	343	364	264	284	213	481	357	415	309	429	319	311	132	213	84	220	103	193	91	287	133		0
Steam (MMBtu)	Apley Court		0		0		0	28	743	203	5789	251	8174	173	4996	181	5234	145	4183	117	3389	69	1983	35	1011		0		0		0	42	1257
Steam (MMBtu)	Canaday Hall	70	2068	57	1604	57	1917	133	3560	350	9976	520	16930	657	19019	781	22577	550	15891	479	13849	367	10601	73	2097		0		0	20	602	332	9990
Steam (MMBtu)	Grays Hall 		0		0		0	15	390	85	2422	96	3129	161	4669	180	5210	107	3081	93	2701	52	1506	4	118		0		0		0	24	714
Steam (MMBtu)	Greenough Hall		0		0	5	165	59	1576	109	3114	150	4894	242	6990	283	8189	202	5846	161	4658	79	2276	10	285		0		0	9	283	78	2357
Steam (MMBtu)	Hollis Hall		0		0		0	27	732	65	1840	97	3151	133	3838	165	4770	126	3628	104	3009	57	1643	3	97		0		0	3	80	47	1412
Steam (MMBtu)	Holworthy Hall 		8		0		0	58	1560	132	3772	178	5791	210	6072	293	8471	461	13329	335	9695	179	5179	38	1101		0		0		0	45	1369
Steam (MMBtu)	Hurlbut Hall 		0		0		0	6	153	11	303	50	1639	133	3848	150	4344	113	3276	103	2967	64	1858	6	167		0		0	3	81	38	1140
Steam (MMBtu)	Lionel Hall		0		0		0	23	615	45	1285	67	2172	103	2971	113	3259	79	2271	61	1772	37	1081	4	110		0		0	3	97	27	813
Steam (MMBtu)	Matthews Hall 		0		0		0	22	577	96	2734	152	4944	225	6508	319	9219	277	8005	190	5491	69	1983		1		0		0		0	32	964
Steam (MMBtu)	Mower Hall 		0		0		0	23	615	45	1285	67	2172	103	2971	113	3259	79	2271	61	1772	37	1081	4	110		0		0	3	97	27	813
Steam (MMBtu)	Pennypacker Hall 		0		0		0	31	839	98	2792	149	4851	193	5593	243	7010	180	5208	158	4558	100	2884	3	95		0		0		0	35	1045
Steam (MMBtu)	Stoughton Hall 		0		0		0	27	717	63	1802	95	3086	130	3758	162	4671	123	3553	102	2947	56	1609	3	95		0		0	3	79	46	1383
Steam (MMBtu)	Straus Hall 		0		0		0	17	460	50	1433	82	2684	133	3862	163	4717	106	3070	88	2545	45	1314	2	62		0		0		0	22	662
Steam (MMBtu)	Thayer Hall	3	102	4	113	2	83	30	811	116	3301	200	6519	287	8310	357	10313	254	7341	210	6078	99	2866	10	283		0		0		0	45	1348
Steam (MMBtu)	Weld Hall 		0		0		0	54	1438	155	4422	229	7438	278	8031	318	9190	251	7262	204	5883	117	3367	5	157		0		0	3	75	65	1944
Steam (MMBtu)	Wigglesworth Hall 		0		0	21	685	79	2128	181	5169	290	9422	430	12434	479	13831	312	9019	212	6126	154	4459	60	1745	50	1511	50	1495	52	1578	99	2989
